settlement,url,title,description,image
Karaz-a-Karak,https://warhammerfantasy.fandom.com/wiki/Karaz-a-Karak,Karaz-a-Karak,"Karaz-a-Karak, also spelled Caraz-a-Carak, which translates roughly as "" Everpeak "", or the "" Pinnacle of Mountains "" in the Dwarf tongue Khazalid, is the greatest city of the Dwarf people and the seat of power for High King Thorgrim Grudgebearer of the Karaz Ankor. Karaz-a-Karak is the mightiest and most populous of all Dwarf holds, the capital of the Dwarf empire of Karaz Ankor and the capital hold of the Dwarf high king.",https://static.wikia.nocookie.net/warhammerfb/images/5/5e/Karaz-a-Karak_Gates_6th_Edition.jpg/revision/latest?cb=20151214230954
Zhufbar,https://warhammerfantasy.fandom.com/wiki/Zhufbar,Zhufbar,"Zhufbar ( Khazalid for ""Torrent-gate"") is a Dwarf hold of the Karaz Ankor and the twin of neighbouring Karak Varn where the metals, gromril in particular, mined out from beneath Karak Varn are smelted and forged into the weapons and armour which make the Dwarfs famous.",https://static.wikia.nocookie.net/warhammerfb/images/1/19/Dwarf_zhufbar.jpg/revision/latest?cb=20140805132000
Karak Kadrin,https://warhammerfantasy.fandom.com/wiki/Karak_Kadrin,Karak Kadrin,"Karak Kadrin, which means "" Hold of the Mountain Pass "" in Khazalid, also known as "" Slayers Keep,"" is a Dwarf hold which guards a region of mountainous passes known simply as Peak Pass, an important trading route which runs through the Worlds Edge Mountains from the distant east to the Old World.",https://static.wikia.nocookie.net/warhammerfb/images/9/98/Dwarf_KadrinValley01.jpg/revision/latest?cb=20140805185213
Khazid Rhyn,,,,
Karak Eight Peaks,https://warhammerfantasy.fandom.com/wiki/Karak_Eight_Peaks,Karak Eight Peaks,"Karak Eight Peaks, now called the City of Pillars by the Skaven who currently rule it, is the Dwarf hold originally known as Vala-Azril-Ungol, ""Queen of the Silver Depths"" in Khazalid, the Dwarf tongue. Karaz Eight Peaks was once one of the greatest kingdoms ever created by the Dwarfs of the Golden Age, rivaling even their capital city of Karaz-a-Karak in terms of sheer power, wealth, and beauty.",https://static.wikia.nocookie.net/warhammerfb/images/4/4e/K8P_inside.png/revision/latest?cb=20200326031012
Karak Azul,https://warhammerfantasy.fandom.com/wiki/Karak_Azul,Karak Azul,"Karak Azul ("" Iron Peak "" in Khazalid ) is a Dwarf hold located in the southern Worlds Edge Mountains. It is the only southern karak still ruled by the Dwarfs. The territories of the High Elves of Ulthuan and the Dwarfs of the Karaz Ankor in the Old World at the dawn of the War of the Beard.",https://static.wikia.nocookie.net/warhammerfb/images/3/32/Karak_Azul.PNG/revision/latest?cb=20151004194357
Kazad Migdhal,,,,
Barak Varr,https://warhammerfantasy.fandom.com/wiki/Barak_Varr,Barak Varr,"Barak Varr, which means the "" Gate to the Sea "" in Khazalid, is unique amongst the Dwarf holds of the Karaz Ankor for being the only hold built to serve as a great harbour. Approaching from the land there is no indication at all of the busy port that lies ahead. In fact, even standing on the cliff edge it seems to the unsuspecting eye that the ships are destined to smash themselves into the cliff face.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Khazid Varrwyndak,,,,
Karak Hirn,https://warhammerfantasy.fandom.com/wiki/Karak_Hirn,Karak Hirn,"Karak Hirn, ("" Hornhold "" in Khazalid ), is the biggest and most important Dwarf hold in the Black Mountains between the northern Border Princes and the southern borders of the Empire. The hold is currently ruled by King Alrik Ranulfsson of Clan Drazhkarak and his wife, Queen Winnifer Falxenheir.",https://static.wikia.nocookie.net/warhammerfb/images/7/73/Karak_Hirn_banner.png/revision/latest?cb=20210325232846
Grung Rakadem,,,,
Khazid Grentaz,,,,
Khazid Svarkungor,,,,
Karak Angazbar,,,,
Grung Tepskaf,,,,
Kazad Nardak,,,,
Migdhal Vongalbavak,,,,
Karak Gantuk,https://warhammerfantasy.fandom.com/wiki/Karak_Gantuk,Karak Gantuk,"Karak Gantuk ("" Gap Hold "" in Khazalid ) is a small Dwarf hold located in the central Black Mountains.",https://static.wikia.nocookie.net/warhammerfb/images/a/ad/Warhammer_Black_Mountains.png/revision/latest?cb=20170408202909
Grung Trag,,,,
Khazid Hafak,,,,
Kazad Zhum,,,,
Karak Izor,https://warhammerfantasy.fandom.com/wiki/Karak_Izor,Karak Izor,"Karak Izor ("" Copper Hold "" in Khazalid ), called "" Copper Mountain"" by Humans, is the first and largest Dwarf hold outside the Worlds Edge Mountains. Its age and prestige is such that Dwarf settlements across The Vaults and as far afield as the eastern Irrana and northern Apuccini Mountains look to Karak Izor for protection and guidance.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Grung Byrn,https://warhammerfantasy.fandom.com/wiki/Grung_Byrn,Grung Byrn,Grung Byrn is a mining outpost located in The Vaults that is home to about 52 adult Dwarfs.,https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Hochstadt,https://warhammerfantasy.fandom.com/wiki/Hochstadt,Hochstadt,Hochstadt is a small Human farming village located in The Vaults which is also home to about 180 Dwarfs.,https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Khazid Algikarag,,,,
Khazid Nekewukaz,https://warhammerfantasy.fandom.com/wiki/Khazid_Nekewukaz,Khazid Nekewukaz,Khazid Nekewukaz is a small village in The Vaults housing about 75 adult Dwarfs.,https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Karak Eksfilaz,https://warhammerfantasy.fandom.com/wiki/Karak_Eksfilaz,Karak Eksfilaz,"Karak Eksfilaz is a Dwarf hold located in The Vaults. The westernmost of all the holds of the Karaz Ankor, Karak Eksfilaz (""Whispering Aspen Mountain"" in Khazalid ), takes its name from the heavily forested, aspen-covered peak upon which it stands. Much of the hold's trade is conducted with northern Tilea, particularly through the towns of Campogrotta and Toscania.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Grung Mizpal,https://warhammerfantasy.fandom.com/wiki/Grung_Mizpal,Grung Mizpal,Grung Mizpal is a small mining outpost with about 57 adult Dwarfs located in The Vaults. It is under the influence of Karak Eksfilaz.,https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Kazad Frukund,https://warhammerfantasy.fandom.com/wiki/Kazad_Frukund,Kazad Frukund,"Kazad Frukund is large Dwarf fort and the westernmost Dwarf stronghold of the Irrana Mountains on the Novalone Pass, with a garrison of about 230 adult Dwarfs. The fort is under the influence of Karak Eksfilaz a Dwarf hold in the the Vaults.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Karak Bhufdar,https://warhammerfantasy.fandom.com/wiki/Karak_Bhufdar,Karak Bhufdar,"Karak Bhufdar ( Khazalid for ""Grey Fir Hold"") is a Dwarf hold located in the mountainous region known as The Vaults in the Old World. The hold is located at the end of a mountain valley surrounded by a mixed forest of grey fir trees and broadleaf trees like Bretonnian oaks. Besides the usual products of ore and stone produced by most Dwarf cities, Karak Bhufdar trades in timber.",https://static.wikia.nocookie.net/warhammerfb/images/2/2b/The_Vaults_Map_Nagash_pp.69.png/revision/latest?cb=20220423104235
Karak Kaferkammaz,https://warhammerfantasy.fandom.com/wiki/Karak_Kaferkammaz,Karak Kaferkammaz,"Karak Kaferkammaz ("" Marble Layers Hold "" in Khazalid ) is the highest Dwarf hold in The Vaults. The hold is ruled by King Skalf Redbeard, and earns a moderate amount of wealth from trade, ore mining and metalworking. Approximately 2,500 able-bodied adult Dwarfs live there.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Grung Wyruvalk,https://warhammerfantasy.fandom.com/wiki/Grung_Wyruvalk,Grung Wyruvalk,Grung Wyruvalk is a Dwarf silver mine located in The Vaults that is owned by Karak Kaferkammaz.,https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Mont Grace,,,,
Karak Grom,https://warhammerfantasy.fandom.com/wiki/Karak_Grom,Karak Grom,"Karak Grom ("" Defiant Hold "" in Khazalid ) is the southernmost of the Dwarf holds of the Karaz Ankor, situated near where The Vaults give way to the Apuccini Mountains. The wealthy Dwarf stronghold is carved into the steep eastern face of Cleaved Mountain ( Karaz Mar ) and gazes out over a wide mountain valley, where the western fork of the River Skiros winds its way below.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Domatburg,https://warhammerfantasy.fandom.com/wiki/Domatburg,Domatburg,Domatburg is a subsidiary settlement of Karak Grom and the largest settlement of Men in The Vaults. It also maintains a population of about 210 Dwarfs.,https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Kazad Sedazund,https://warhammerfantasy.fandom.com/wiki/Kazad_Sedazund,Kazad Sedazund,"Kazad Sedazund is a Dwarf fort situated in the Apuccini Mountains in the land of Tilea. It is the southernmost Dwarf outpost in the Apuccini Mountains. Kazad Sedazund is considered a subsidiary settlement of Karak Grom, a Dwarf hold to the north in The Vaults.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Khazid Urbaz,https://warhammerfantasy.fandom.com/wiki/Khazid_Urbaz,Khazid Urbaz,"Khazid Urbaz, meaning ""trading post town"" in Khazalid, is a village of Karak Grom with a population of about 90 Dwarfs. Situated upon the banks of the River Skiros, the small Dwarf hold of Khazid Urbaz serves as the main trade centre for the Dwarfs of The Vaults and the Apuccini Mountains with the Men of the Border Princes and Tilea.",https://static.wikia.nocookie.net/warhammerfb/images/6/6b/Western_Dwarf_Realms.png/revision/latest?cb=20210727083944
Karak Skivark (Grimhold),https://warhammerfantasy.fandom.com/wiki/Grimhold,Grimhold,Grimhold is a declining Grey Dwarf hold located in the southern Grey Mountains.,https://static.wikia.nocookie.net/warhammerfb/images/2/2b/The_Vaults_Map_Nagash_pp.69.png/revision/latest?cb=20220423104235
Karak Norn,https://warhammerfantasy.fandom.com/wiki/Karak_Norn,Karak Norn,"Karak Norn ("" Barren Earth Hold "" in Khazalid ) is a Dwarf hold built on a forested and valley-ringed mountain amongst the Grey Mountains. It is believed to be the first hold to have been ruled by a Dwarf queen, Hadora Ironpick, who led her people there following the fall of Mount Silverspear in -1367 IC.",https://static.wikia.nocookie.net/warhammerfb/images/e/ee/Karak_Norn-Rune.png/revision/latest?cb=20211116192926
Bergheim,,,,
Khazid Thran,,,,
Karak Azgaraz,https://warhammerfantasy.fandom.com/wiki/Karak_Azgaraz,Karak Azgaraz,"Karak Azgaraz ( Khazalid for "" Hold of the Fearless Axe "") is one of the major Dwarf holds, located not too far from the Imperial trading city of Ãœbersreik. There are many Dwarf strongholds scattered throughout the Grey Mountains, though none are as wealthy or as magnificent as the surviving karaks of the Worlds Edge Mountains far to the east. The Dwarfs of this region are called "" Grey Dwarfs "" by their eastern kin, which is a reference not only to their location, but also to their dour outlook and the relative austerity of their holds.",https://static.wikia.nocookie.net/warhammerfb/images/7/78/Karak_Azgaraz_map_1.png/revision/latest?cb=20161014163730
Grimbringrungaz,,,,
Karak Ziflin,https://warhammerfantasy.fandom.com/wiki/Karak_Ziflin,Karak Ziflin,"Karak Ziflin ("" Windswept Hold "" in Khazalid ) is the smallest of the Grey Dwarf holds of the Grey Mountains. Karak Ziflin sits north of Axe Bite Pass that divides the lands of Bretonnia and the Empire, located more on the Bretonnian side of the divide. Winds from the western Sea of Claws frequently blow through the kingdom.",https://static.wikia.nocookie.net/warhammerfb/images/9/9a/Karak_Ziflin_banner_Total_War.png/revision/latest?cb=20171118185626
Grung Ardzufak,,,,
Kazad Elgazund,,,,
Kraka Drak,https://warhammerfantasy.fandom.com/wiki/Kraka_Drak,Kraka Drak,"Kraka Drak ("" Dragon Hold "" in Khazalid ) was a Dwarf hold and the former capital of the Norse Dwarfs of Norsca and their last Great King Silverbeard. Kraka Drak was completely destroyed during the War in the Mountains (2302-2390 IC ) by the Chaos hordes commanded by Valmir Aesling, who spent ninety years slaughtering the Dwarfs in the hold that they were trapped in by an avalanche engineered by the Great King Silverbeard. Kraka Drak was later resettled by Norse Dwarf refugees, who hope to clear the halls and rebuild the hold back to its former glory.",https://static.wikia.nocookie.net/warhammerfb/images/8/80/Kraka_Drak_Total_War_Warhammer.png/revision/latest?cb=20171107164314
Grung Kuldungor,,,,
Khazid Ravik,,,,
Kraka Ravnsvake,https://warhammerfantasy.fandom.com/wiki/Kraka_Ravnsvake,Kraka Ravnsvake,"Kraka Ravnsvake, meaning "" Raven's Roost Hold "" in Khazalid, is a Dwarf Hold that lies in the mountains south-west of Kraka Drak, at the far end of Draksfjord. Beneath the stronghold are extensive deposits of okrinaduraz, a hard, bluish-grey stone used by Dwarf artisans to carve the likenesses of their revered ancestors and fashion works of art.",https://static.wikia.nocookie.net/warhammerfb/images/8/86/Kraka_Ravnvake_Map.png/revision/latest?cb=20180506200319
Grung Stekbrud,,,,
Khazid Bordkarag,,,,
Sjoktraken,,,,
Kraka Dorden,https://warhammerfantasy.fandom.com/wiki/Kraka_Dorden,Kraka Dorden,"The second largest Norse Dwarf hold is Kraka Dorden ("" Thunder Hold "" in Khazalid ), located north-west of Kraka Drak in the mountains above Taldursfjord. It is ruled by King Logamir Ulfarson and Queen Friga Alaricdottir of Clan Zhargrun. Kraka Dorden is well known in Norsca for its furs, its metalwork, and its deposits of iron, tin, and quartz.",https://static.wikia.nocookie.net/warhammerfb/images/6/6a/Kraka_Dorden_Map.png/revision/latest?cb=20180506200832
Grung Dobekzhuf,,,,
Khazid Fneldurk,,,,
Kraka Ornsmotek,https://warhammerfantasy.fandom.com/wiki/Kraka_Ornsmotek,Kraka Ornsmotek,"Kraka Ornsmotek ("" Eagle's Peak Hold "" in Khazalid ) is the northernmost Norse Dwarf hold, and also the most heavily fortified. Located in the Jagged Tooth Mountains, this region of Norsca has a higher population of Giants, Trolls and the forces of Chaos than anywhere else in the Known World, and Kraka Ornsmotek is home to more Slayers and Norse Dwarf Berserkers than the other Norse Dwarf holds combined.",https://static.wikia.nocookie.net/warhammerfb/images/6/6e/Kraka_Ornsmotek_Map.png/revision/latest?cb=20180506200637
Grung Diratduraz,,,,
Kazad Dumund,,,,
Karag Dromar,,,,
Karak Varn (Cragmere),https://warhammerfantasy.fandom.com/wiki/Karak_Varn,Karak Varn,"Karak-Varn (in Khazalid, lit. ""Stronghold of lake enclosed by mountains""), nowadays sometimes called Cragmere, was once a flourishing hold of the Dwarfs. Today, it is a ruin, given up to the Skaven and other enemies of the Dwarfs. It is one of two Dwarf holds which overlook the Black Water Lake, at the junction of the Black Mountains and the Worlds Edge Mountains.",https://static.wikia.nocookie.net/warhammerfb/images/c/c8/Dwarf_Button.png/revision/latest?cb=20150606013001
Karak Drazh (Black Crag),https://warhammerfantasy.fandom.com/wiki/Karak_Drazh,Karak Drazh,,
Karak Azgal,https://warhammerfantasy.fandom.com/wiki/Karak_Azgal,Karak Azgal,"Karak Azgal, which means "" Hoard Peak "" in Reikspiel and Khazalid, formerly called Karak Izril, meaning the "" City of Jewels "", and known today as the "" Dragon Crag "", was once an extremely wealthy Dwarf Hold that has since fallen under the control of the Greenskins and the Skaven.",https://static.wikia.nocookie.net/warhammerfb/images/d/d0/Karak_Azgal_Sigil.png/revision/latest?cb=20200407212131
Ekrund,https://warhammerfantasy.fandom.com/wiki/Ekrund,Ekrund,"Ekrund, now called Mount Bloodhorn, is a fallen Dwarf hold. In -1498 IC, the Badlands were overrun by Greenskins. Ekrund fell to the Orcs after many months of intense fighting by the vastly outnumbered Dwarfs.",https://static.wikia.nocookie.net/warhammerfb/images/d/df/Warhammer_Gates_of_Ekrund_by_Lanefenu.jpg/revision/latest?cb=20200326022136
Karak Ungor (Red-Eye Mountain),,,,
Karak Vlag,https://warhammerfantasy.fandom.com/wiki/Karak_Vlag,Karak Vlag,"Although the most northerly of the major Dwarf realms is Karak Kadrin, there used to be another hold situated on the southern side of the High Pass. Karak Vlag, which means "" Desolation Hold "" in Khazalid, was famed for its quality of stone-masonry. It had vast qualities of iron ore in the rocks below its walls.",https://static.wikia.nocookie.net/warhammerfb/images/c/c8/Dwarf_Button.png/revision/latest?cb=20150606013001
Karag Agilwutraz (Mount Silverspear),https://warhammerfantasy.fandom.com/wiki/Karag_Agilwutraz,Karag Agilwutraz,,
Karag Gunbad,,,,
Karak Skygg,https://warhammerfantasy.fandom.com/wiki/Karak_Skygg,Karak Skygg,"Karak Skygg is an abandoned Dwarf hold that stands high in the Middle Mountains in the old Dwarfen realm of Karaz Ghumzul. For centuries this hold was home to the mountain folk but was never a major settlement -- perhaps the equivalent of a small Human town or fortress. At some point in the past, for unknown reasons, the Dwarfs of the Middle Mountains abandoned and sealed their holds to return to the Worlds Edge Mountains.",https://static.wikia.nocookie.net/warhammerfb/images/6/68/Horned_Rat_Companion_Middle_Mountains%E2%80%99.png/revision/latest?cb=20230916114706
Kazad Drengi (Keep of the First Slayer),https://warhammerfantasy.fandom.com/wiki/Keep_of_the_First_Slayer,Keep of the First Slayer,,
Karak Kazarak,https://warhammerfantasy.fandom.com/wiki/Karak_Kazarak,Karak Kazarak,,
Oakenhammer,,,,
Migdhal Agril,,,,
Khazid Kro,,,,
Karak Gnol,https://warhammerfantasy.fandom.com/wiki/Karak_Gnol,Karak Gnol,"Karak Gnol, meaning "" Old Hold "" in Khazalid, is a now-abandoned Dwarf hold in the Grey Mountains. Its towers and buildings were built in a massive cavern, and included a great waterworks and expansive mining operations. The hold was overrun by the Skaven during the early End Times and served as the chief fortress and nest of Warlord Skarrik Spinemanglr of Clan Fester, before he was slain by a group of heroes known as the Ubersreik Five.",
